13511:   /usr/lib/jvm/java-6-sun/bin/java -Djava.util.logging.config.file=/opt/tomcat-cohen/conf/logging.properties -Descenic.server=li140-120-cohen -Djava.awt.headless=true -Djava.security.auth.login.config=/etc/escenic/engine/common/security/jaas.config -Djava.security.policy=/etc/escenic/engine/common/security/java.policy -Dsolr.solr.home=/var/lib/escenic/solr -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -Xloggc:/var/log/escenic/engine-cohen-gc.log -XX:+CMSClassUnloadingEnabled -XX:+CMSIncrementalPacing -XX:+CMSPe
8c3ba000      8K r-xs-  /opt/tomcat-cohen/escenic/lib/classification-api-5.3.5.121857.jar
8c3bc000      4K r-xs-  /opt/tomcat-cohen/escenic/lib/classes.jar
8c3bd000     12K r-xs-  /opt/tomcat-cohen/escenic/lib/axiom-impl-1.2.5.jar
8c3c0000     16K r-xs-  /opt/tomcat-cohen/escenic/lib/axiom-api-1.2.5.jar
8c3c4000      8K r-xs-  /opt/tomcat-cohen/escenic/lib/activation-1.1.1.jar
8c3c6000     12K r-xs-  /opt/tomcat-cohen/escenic/lib/abdera-parser-1.0.jar
8c3c9000     20K r-xs-  /opt/tomcat-cohen/escenic/lib/abdera-i18n-1.0.jar
8c3ce000     16K r-xs-  /opt/tomcat-cohen/escenic/lib/abdera-core-1.0.jar
8c3d2000      8K r-xs-  /opt/apache-tomcat-6.0.35/lib/tomcat-i18n-ja.jar
8c3d4000      8K r-xs-  /opt/apache-tomcat-6.0.35/lib/tomcat-i18n-fr.jar
8c3d6000     16K r-xs-  /opt/apache-tomcat-6.0.35/lib/tomcat-dbcp.jar
8c3da000      4K -----    [ anon ]
8c3db000    512K rwx--    [ anon ]
8c45b000     12K -----    [ anon ]
8c45e000    312K rwx--    [ anon ]
8c4ac000     12K -----    [ anon ]
8c4af000    504K rwx--    [ anon ]
8c52d000     12K -----    [ anon ]
8c530000    312K rwx--    [ anon ]
8c57e000     12K -----    [ anon ]
8c581000    312K rwx--    [ anon ]
8c5cf000   2048K r-x--  /usr/lib/locale/locale-archive
8c7cf000     12K -----    [ anon ]
8c7d2000    312K rwx--    [ anon ]
8c820000     12K -----    [ anon ]
8c823000    312K rwx--    [ anon ]
8c871000   1632K r-xs-  /usr/lib/jvm/java-6-sun-1.6.0.26/jre/lib/rt.jar
8ca09000    168K rwx--    [ anon ]
8ca33000     12K r-xs-  /opt/apache-tomcat-6.0.35/lib/tomcat-i18n-es.jar
8ca36000     40K r-xs-  /opt/apache-tomcat-6.0.35/lib/tomcat-coyote.jar
8ca40000      8K r-xs-  /opt/apache-tomcat-6.0.35/lib/servlet-api.jar
8ca42000      8K r-xs-  /opt/apache-tomcat-6.0.35/lib/jsp-api.jar
8ca44000     28K r-xs-  /opt/apache-tomcat-6.0.35/lib/jasper.jar
8ca4b000      4K -----    [ anon ]
8ca4c000    720K rwx--    [ anon ]
8cb00000   1024K rwx--    [ anon ]
8cc00000      4K r-xs-  /opt/tomcat-cohen/escenic/lib/slf4j-api-1.5.8.jar
8cc01000     12K r-xs-  /opt/apache-tomcat-6.0.35/lib/jasper-el.jar
8cc04000      8K r-xs-  /opt/apache-tomcat-6.0.35/lib/el-api.jar
8cc06000     60K r-xs-  /opt/apache-tomcat-6.0.35/lib/ecj-3.7.jar
8cc15000     64K r-xs-  /opt/apache-tomcat-6.0.35/lib/catalina.jar
8cc25000     16K r-xs-  /opt/apache-tomcat-6.0.35/lib/catalina-tribes.jar
8cc29000     12K r-xs-  /opt/apache-tomcat-6.0.35/lib/catalina-ha.jar
8cc2c000     24K r-x--  /usr/lib/jvm/java-6-sun-1.6.0.26/jre/lib/i386/libmanagement.so
8cc32000      4K rwx--  /usr/lib/jvm/java-6-sun-1.6.0.26/jre/lib/i386/libmanagement.so
8cc33000    336K rwx--    [ anon ]
8cc87000      4K -----    [ anon ]
8cc88000  16228K rwx--    [ anon ]
8dc61000    384K rwx--    [ anon ]
8dcc1000    192K rwx--    [ anon ]
8dcf1000      4K rwx--    [ anon ]
8dcf2000    820K rwx--    [ anon ]
8ddbf000    384K rwx--    [ anon ]
8de1f000 353284K rwx--    [ anon ]
a3720000   1024K rwx--    [ anon ]
a3820000  65536K rwx--    [ anon ]
a7820000 196608K rwx--    [ anon ]
b3820000     24K r-xs-  /usr/share/java/mysql-connector-java-5.1.10.jar
b3826000      4K -----    [ anon ]
b3827000  52512K rwx--    [ anon ]
b6b6f000     60K r-x--  /usr/lib/jvm/java-6-sun-1.6.0.26/jre/lib/i386/libzip.so
b6b7e000      8K rwx--  /usr/lib/jvm/java-6-sun-1.6.0.26/jre/lib/i386/libzip.so
b6b80000     40K r-x--  /lib/i686/cmov/libnss_files-2.11.3.so
b6b8a000      4K r-x--  /lib/i686/cmov/libnss_files-2.11.3.so
b6b8b000      4K rwx--  /lib/i686/cmov/libnss_files-2.11.3.so
b6b8c000     32K r-x--  /lib/i686/cmov/libnss_nis-2.11.3.so
b6b94000      4K r-x--  /lib/i686/cmov/libnss_nis-2.11.3.so
b6b95000      4K rwx--  /lib/i686/cmov/libnss_nis-2.11.3.so
b6b96000     24K r-x--  /lib/i686/cmov/libnss_compat-2.11.3.so
b6b9c000      4K r-x--  /lib/i686/cmov/libnss_compat-2.11.3.so
b6b9d000      4K rwx--  /lib/i686/cmov/libnss_compat-2.11.3.so
b6b9e000      4K r-xs-  /opt/tomcat-cohen/escenic/lib/relaxngDatatype-20020414.jar
b6b9f000     32K rwxs-  /tmp/hsperfdata_escenic/13511
b6ba7000     76K r-x--  /lib/i686/cmov/libnsl-2.11.3.so
b6bba000      4K r-x--  /lib/i686/cmov/libnsl-2.11.3.so
b6bbb000      4K rwx--  /lib/i686/cmov/libnsl-2.11.3.so
b6bbc000      8K rwx--    [ anon ]
b6bbe000    140K r-x--  /usr/lib/jvm/java-6-sun-1.6.0.26/jre/lib/i386/libjava.so
b6be1000      8K rwx--  /usr/lib/jvm/java-6-sun-1.6.0.26/jre/lib/i386/libjava.so
b6be3000     44K r-x--  /usr/lib/jvm/java-6-sun-1.6.0.26/jre/lib/i386/libverify.so
b6bee000      4K rwx--  /usr/lib/jvm/java-6-sun-1.6.0.26/jre/lib/i386/libverify.so
b6bef000     28K r-x--  /lib/i686/cmov/librt-2.11.3.so
b6bf6000      4K r-x--  /lib/i686/cmov/librt-2.11.3.so
b6bf7000      4K rwx--  /lib/i686/cmov/librt-2.11.3.so
b6bf8000     12K -----    [ anon ]
b6bfb000    312K rwx--    [ anon ]
b6c49000    144K r-x--  /lib/i686/cmov/libm-2.11.3.so
b6c6d000      4K r-x--  /lib/i686/cmov/libm-2.11.3.so
b6c6e000      4K rwx--  /lib/i686/cmov/libm-2.11.3.so
b6c6f000   4996K r-x--  /usr/lib/jvm/java-6-sun-1.6.0.26/jre/lib/i386/client/libjvm.so
b7150000    140K rwx--  /usr/lib/jvm/java-6-sun-1.6.0.26/jre/lib/i386/client/libjvm.so
b7173000   4212K rwx--    [ anon ]
b7590000   1280K r-x--  /lib/i686/cmov/libc-2.11.3.so
b76d0000      4K -----  /lib/i686/cmov/libc-2.11.3.so
b76d1000      8K r-x--  /lib/i686/cmov/libc-2.11.3.so
b76d3000      4K rwx--  /lib/i686/cmov/libc-2.11.3.so
b76d4000     12K rwx--    [ anon ]
b76d7000      8K r-x--  /lib/i686/cmov/libdl-2.11.3.so
b76d9000      4K r-x--  /lib/i686/cmov/libdl-2.11.3.so
b76da000      4K rwx--  /lib/i686/cmov/libdl-2.11.3.so
b76db000     28K r-x--  /usr/lib/jvm/java-6-sun-1.6.0.26/jre/lib/i386/jli/libjli.so
b76e2000      8K rwx--  /usr/lib/jvm/java-6-sun-1.6.0.26/jre/lib/i386/jli/libjli.so
b76e4000      4K rwx--    [ anon ]
b76e5000     84K r-x--  /lib/i686/cmov/libpthread-2.11.3.so
b76fa000      4K r-x--  /lib/i686/cmov/libpthread-2.11.3.so
b76fb000      4K rwx--  /lib/i686/cmov/libpthread-2.11.3.so
b76fc000      8K rwx--    [ anon ]
b76fe000      8K r-xs-  /opt/apache-tomcat-6.0.35/lib/catalina-ant.jar
b7700000      4K r-xs-  /opt/apache-tomcat-6.0.35/lib/annotations-api.jar
b7701000      4K r-xs-  /opt/apache-tomcat-6.0.35/bin/tomcat-juli.jar
b7702000      4K r-xs-  /opt/apache-tomcat-6.0.35/bin/commons-daemon.jar
b7703000      4K r-xs-  /opt/apache-tomcat-6.0.35/bin/bootstrap.jar
b7704000      4K r-x--  /usr/lib/locale/locale-archive
b7705000      4K rwx--    [ anon ]
b7706000      4K r-x--    [ anon ]
b7707000     16K rwx--    [ anon ]
b770b000    108K r-x--  /lib/ld-2.11.3.so
b7726000      4K r-x--  /lib/ld-2.11.3.so
b7727000      4K rwx--  /lib/ld-2.11.3.so
bfe01000    136K rwx--    [ stack ]
f57fe000      4K r-x--    [ anon ]
 total   730020K
